Title,Description,Contributor #1,Contributor #2,Contributor #3,Issue #,Issue,Year,Page,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Link to Buy it Now
The Alchemy of Doll Making - Part 2,Michael Langton Makes wooden dolls look real.,"Ryan, Kathleen",,,8,Fall,1999,88-92,"Projects, Step by Step",Dolls,People,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Cover Feature: Painting a Whitetail Buck,The trophy deer is an eye-catcher.,"Hulst, Naomi",,,8,Fall,1999,95-97,Painting Techniques,Book Excerpts,Animals,Deer,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Ward World 1999 Championship,Carving advice from an expert on stylized sculpture.,"Hulst, Naomi",,,8,Fall,1999,99-105,Championships,Sculpting,Tips,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Tips: Relief Carver's Workbench,,"DePauw, Vernon","Kochan, Jack",,9,Holiday,1999,14,Tips,Relief Carving,Technique,,,
Introduction to Standard Chip Carving,McKenzie demonstrates his art a chip at a time.,"Mckenzie, Barry",,,9,Holiday,1999,16-18,Chip Carving,Beginner,Artist Profile,,,
Norwegian Carving,Learn the art of kolrosing from Ervey Shelley,"Ervey, Shelley",,,9,Holiday,1999,23-26,Kolrosing (Norwegian Carving),Spoons,Pattern Profile,"Projects, Step by Step",,
Goose Pin - Come Fly With Me,Carve a goose pin in 14 steps with Roger Morency,"Morency, Roger",,,9,Holiday,1999,28-30,"Projects, Step by Step",Birds,Goose,Pins,,
Holiday Patterns for Chip Carvers,Roger Nancoz offers the holiday spirit with his ornaments,"Nancoz, Roger",,,9,Holiday,1999,32-37,Pattern Profiles,Holidays,Ornaments,,,
Up on the House Top: A Chimney Santa,Mike Shipley put Santa in a Chimney,"Shipley, Mike",,,9,Holiday,1999,39-45,"Projects, Step by Step",Pattern Profiles,Holidays,Santas,,
Carving a Christmas Elf with David Sabol,Brighten up your home with David Sabol's elf and Christmas tree.,"Sabol, David",,,9,Holiday,1999,50-59,"Projects, Step by Step",Pattern Profiles,Holidays,Elf,,
A Look at Cane Making,Collector William Paisley draws inspiration from the masters.,"Paisley, William",,,9,Holiday,1999,60-64,Canes,Walking Sticks,Gallery,,,
Pattern Profile: Dynamite,"A lively pattern from Gary Batte's new book, ""Carving Crazy Critters"".","Batte, Gary",,,9,Holiday,1999,66-68,Pattern Profiles,Caricatures,Animals,Horses,,
Wood Review: Butternut - Wood of the Gods,WCI's wood column offers everything you need to know about this favored carving wood.,"Schroeder, Roger",,,9,Holiday,1999,71-74,Wood Reviews,Butternut,Tips,,,
Anatomy of Butternut,Fred Cogelow reveals why he chooses this species.,"Cogelow, Fred",,,9,Holiday,1999,76-78,Wood Reviews,Butternut,Tips,,,
Christmas Reds,Tina Toney shares painting tips and a Santa pattern.,"Toney, Tina",,,9,Holiday,1999,80,Painting Techniques,Santas,Holidays,,,
From Ancient Trees to Works of Art,Chris White turns ancient trees into sculptures.,"Stellhorn, Ayleen",,,9,Holiday,1999,8/10/2014,Sculptures,Book Excerpts,Trees,,,
Carving in the Round Pattern Profile: Hobo,A Tygg carving classic.,"Schroeder, Roger","Kochan, Jack",,9,Holiday,1999,86-88,Pattern Profiles,Caricatures,People,,,
Arizona Sand Guppy,Don't be fooled by Dave Stetson's fish - it's a perfect beginner's project.,"Stetson, Dave",,,10,Spring,2000,13-18,"Projects, Step by Step",Caricatures,Fish,,,
More on the Sharper Edge,Bob Yorburg returns with tips on sharpening V tools.,"Yorburg, Bob",,,10,Spring,2000,21-23,Tool Reviews,Sharpening,Tips,,,
V Tool,John Mignone helps readers get a grip on an essential tool and then shows how to carve an eagle with it.,"Mignone, John",,,10,Spring,2000,24-27,"Projects, Step by Step",Tools,Birds,Eagles,,
The Story of Trolls,Not all trolls are evil; some are just a little mischievous.,"Refsal, Harley","Hulst, Naomi",,10,Spring,2000,30-31,Pattern Profiles,People,Caricatures,Trolls,,
American Folk Art Canes,Collector George H. Meyer shares the best of his cane collection.,"Meyer, George H.",,,10,Spring,2000,34-40,Canes,Walking Sticks,Folk Art,,,
Shallow Chip Carving,Barry McKenzie shows that shallow chips are an excellent choice for ship carvers.,"Mckenzie, Barry",,,10,Spring,2000,42-44,Chip Carving,Shallow,Technique,,,
Carving and Painting a Blugegill,Ray McKenzie's fish is sure to be a trophy.,"McKenzie, Ray",,,10,Spring,2000,50-58,"Projects, Step by Step",Pattern Profiles,Fish,,,
Getting Hookes on Chip Carving,Diane Harto proves that wooden eggs are fun to carve.,"Harto, Diane",,,10,Spring,2000,60-63,Chip Carving,Eggs,Miscellaneous,,,
Painting a Cardinal,Alfred Ponte makes painting this bird as easy as counting to 11.,"Ponte, Alfred",,,10,Spring,2000,65-67,Painting Techniques,Birds,Cardinal,,,
Carving Through the Ages - Part 2 The Old Timer,Dave Sabol brings a child to old age with well-placed wrinkles.,"Sabol, David",,,10,Spring,2000,70-77,Pattern Profiles,"Projects, Step by Step",Caricatures,People,,
Wood Review: Mahogany - A Classic Wood,"For the last three centuries, carvers have treated this wood as a classic.","Schroeder, Roger",,,10,Spring,2000,80-83,Wood Reviews,Mahogany,Info,,,
You're Invited to Wood Carving Illustrated's 3rd Open House,"Demonstrations, exhibits, free seminars and more!",WCI Staff,,,10,Spring,2000,8/11/2014,Fox Chapel's Open House,,Celebration,,,
Pattern Profile: The Bear,The Japenese excel at the art of bear carving.,"Schroeder, Roger","Kochan, Jack",,10,Spring,2000,85-87,Pattern Profiles,Animals,Bears,,,
Singing the praises of the Lark Carousel,A Minnesota work art is a popular stop for tourist of all ages.,"Schroeder, Roger",,,11,Summer,2000,11/13/2014,Carousel Animals,Animals,Midwest,,,
Be Smart-Carve an Egghead,Pete LeClair loves to carves faces.,"Leclair, Pete",,,11,Summer,2000,18-24,Caricatures,Faces,Egg,,,
2nd Poor Man's Tool Contest,WCI invites readers to submit tool ideas that keep the money in the bank.,WCI Staff,,,11,Summer,2000,25,Contests,Tools,Tips,,,
Pattern Profile: One Too Many,A tipsy drunk keeps to his feet.,"Schroeder, Roger","Kochan, Jack",,11,Summer,2000,26-28,Pattern Profiles,People,Tipsy,,,
An introduction to Old World-Style Chip Carving,Barry McKenzie continues his series on chip carving styles.,"Mckenzie, Barry",,,11,Summer,2000,30-32,Chip Carving,Old-World,Technique,,,
The Great Circus Parade,"Carved circus wagons are the feature of this annual Milwauke, Wisconsin event.","Schroeder, Roger",,,11,Summer,2000,34-43,Circus Art,Museums,Parade,,,
A Love Affair with Wood,Managing Editor Roger Schroeder shares his rewarding wiriting career.,"Schroeder, Roger",,,11,Summer,2000,3/5/2014,Miscellaneous,Feature,Wood,,,
"Taking a Front Seat with John Bauer, Furniture Maker",New Mexico woodworker carves his creations.,"Schroeder, Roger",,,11,Summer,2000,44-45,Furniture,Feature,Artist Profile,,,
Carving An Acanthus Spoon,Phillip Odden demonstrates carving the Norsk way.,"Odden, Phillip",,,11,Summer,2000,52-56,Spoons,Acanthus,"Projects, Step by Step",,,
Pattern Profile: Three Happy Fellas,A Swedish carver creates a trio of men on the town.,"Refsal, Harley","Hulst, Naomi",,11,Summer,2000,58-59,Caricatures,Pattern Profiles,People,,,
A Hot Project,Peter Ortel carves a fireman's bust,"Ortel, Peter","Schroeder, Roger",,11,Summer,2000,60-68,"Projects, Step by Step",Pattern Profiles,People,Caricatures,Fireman,
Wood Review: Black Walnut: An American Aristocrat,WCI's wood column offers everything you need to know about this favorite carving wood.,"Schroeder, Roger",,,11,Summer,2000,70-73,Wood Reviews,Black Walnut,Info,,,
Black Walnut: A Wood Worth Carving,Ray Kunz shares his experience with this species.,"Schroeder, Roger",,,11,Summer,2000,74,Wood Reviews,Black Walnut,Info,,,
Angelic Sculptures in Walnut,Bennett pushes pushes wood to its limits when he creates abstract art.,"Bennett, Blackburn",,,11,Summer,2000,76-80,Sculptures,Angel,Artist Profile,,,
Rocky Mountain Wood Carving School,"Alberta, Canada is the site for popular carving instructors and students","Schroeder, Roger",,,11,Summer,2000,82-83,Carving Schools,Rocky Mountains,Info,,,
Festival Deomnstrates Art in the Making,"Jamestown, New York Audobon show puts artists to work.","Stellhorn, Ayleen",,,11,Summer,2000,84-85,Miscellaneous,Festivals,Carving Shows,,,
Carving for Safety's Sake,Read 10 tips to keep you safe and healthy.,,,,12,Fall,2000,12,Tips,Safety,Tools,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-12-fall-2000.html
The Pussycat,Art Shoemaker's feline is a purr-fect carving for the beginner.,"Shoemaker, Art",,,12,Fall,2000,16-23,Animals,Cats,"Projects, Step by Step",,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-12-fall-2000.html
Pattern Profile: Wine Steward,Here's a project that puts a cork in your favorite bottle.,"Kochan, Jack",,,12,Fall,2000,25,Miscellaneous,Pattern Profiles,Wine,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-12-fall-2000.html
Color Wheel Basics,"Mixing is easy as saying red, yellow and blue.","Corbett, Lori",,,12,Fall,2000,26-30,Paint,Colors,Techniques,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-12-fall-2000.html
Fine Art of Carousel Restoration and Painting,Pam Hessey shares her magic for bringing wooden figures back to life.,"Hessey, Pam",,,12,Fall,2000,32-37,Carousel Animals,Restoration,Technique,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-12-fall-2000.html
Introduction to Free-Form Chip Carving,Barry McKenzie describes what he calls calligraphy with a knife.,"Mckenzie, Barry",,,12,Fall,2000,38-40,Chip Carving,Miscellaneous,Free-Form,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-12-fall-2000.html
Landscapes in Relief,Lora Irish offers tips from her book.,"Irish, Lora S",,,12,Fall,2000,43-47,Relief Carving,Miscellaneous,Landscapes,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-12-fall-2000.html
Sign Up for Carving a Little Guy,Create custom announcements with Larry Spinak's diminutive figure.,"Spinak, Larry",,,12,Fall,2000,52-59,Caricatures,Projects,Projects,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-12-fall-2000.html
Pattern Profile: Troll Girl,Don't discount a girl with pointed ears and a tail.,"Hull, Joel",,,12,Fall,2000,60-61,Caricatures,Pattern Profiles,People,Trolls,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-12-fall-2000.html
Clay and Carving,"Before carving a figure, make a realistic model with the help of simple household items.","Rhodes, Karen",,,12,Fall,2000,64-69,Animals,Bears,People,"Projects, Step by Step",,http://foxchapelpublishing.com/wood-carving-illustrated-issue-12-fall-2000.html
British Invasion,"Ian Norbury, one of Europe's premier carvers, comes to the U.S. to offer instruction.","Stellhorn, Ayleen",,,12,Fall,2000,6/9/2014,Realistic Figures,British,Artist Profile,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-12-fall-2000.html
Flexcut Tools Put to the Test,Tool reviewer John Mignone finds praise a unique design.,"Mignone, John",,,12,Fall,2000,72-75,Tool Reviews,Product Review,Info,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-12-fall-2000.html
Tips: Dust Collector,Control dust with an inexpensive machine you can make on your own.,"Smith, Jim",,,12,Fall,2000,76-77,Dust Collector,Tips,Shopmade,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-12-fall-2000.html
Wood Review: Pine,"From match sticks to sculpture, pine has played a prominent role in American industry and art.","Schroeder, Roger",,,12,Fall,2000,78-81,Wood Reviews,Pine,Projects,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-12-fall-2000.html
Quarter Century Club,"A long Island, New York carving club celebrates a silver anniversary.","Schroeder, Roger",,,12,Fall,2000,84-85,Miscellaneous,Carving Club,NYC,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-12-fall-2000.html
Carver of the Year Award,Watch Harold Enlow Grandpa of the Caricature Carvers receive the 1st annual award.,"Enlow, Harold",,,13,Holiday,2000,13,Awards,Winner,Carving Club,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-13-holiday-2000.html
The Screech Owl,Art Shoemaker offers an ideal beginner's project,"Shoemaker, Art",,,13,Holiday,2000,17-23,Animals,Owls,Birds,Caricatures,"Projects, Step by Step",http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-13-holiday-2000.html
Carving a Christmas Ornament or Wall Switch,Light up the holidays with a colorful relief carving.,"Toney, Tina",,,13,Holiday,2000,24-31,Relief Carving,Santas,Ornaments,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-13-holiday-2000.html
Pipes of Whimsy,James Margroum turns a pipe dream into an art form.,"Schroeder, Roger","Margroum, James",,13,Holiday,2000,33-38,Projects,Whimsies,Whittle,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-13-holiday-2000.html
Brush Basics - Part I,Lori Corbett takes the guesswork out of a hirsute subject.,"Corbett, Lori",,,13,Holiday,2000,40-43,Paint Brushes,Brush Care,Tips,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-13-holiday-2000.html
Confessions of a Woodcarving Collector,Managing Editor Roger Schroeder writes about a 20-year search for a special woodcarving.,"Schroeder, Roger",,,13,Holiday,2000,44-46,People,Gallery,Artist Profile,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-13-holiday-2000.html
Chessmen with Mettle,Robin Hood and other characters of Sherwood Forest come alive.,"Moon, Dr. John",,,13,Holiday,2000,54-59,Chess,Robin Hood,Sherwood Forest,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-13-holiday-2000.html
Olde World Santa,Joel Hull looks back in time to carve St. Nick,"Hull, Joel",,,13,Holiday,2000,65-73,"Projects, Step by Step",Santas,Holidays,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-13-holiday-2000.html
Introduction to Chip Carved Decorations,Barry McKenzie desk the halls with novel chip carvings.,"Mckenzie, Barry",,,13,Holiday,2000,74-75,Chip Carving,Miscellaneous,Holidays,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-13-holiday-2000.html
Tormek Put to the Test,Grinding and honing with Tormek has never been easier or more precise,"Schroeder, Roger",,,13,Holiday,2000,76-79,Tool Reviews,Product Review,Tips,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-13-holiday-2000.html
Open House 2000,A review of the annual event gives it highest marks. Prepare for Open House 2001,"Stellhorn, Ayleen",,,13,Holiday,2000,8/11/2014,Fox Chapel's Open House,Gallery,Celebration,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-13-holiday-2000.html
Wood Review: Apple,Take a shine to a wood that offers sterling qualities for the carver.,"Schroeder, Roger",,,13,Holiday,2000,82-84,Wood Reviews,Apple,Info,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-13-holiday-2000.html
Santa Head Finishing Techniques,Carole Jean Boyd demonstrated that god finishing is in the flow.,"Boyd, Carol Jean",,,13,Holiday,2000,85-89,"Projects, Step by Step",Santas,Holidays,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-13-holiday-2000.html
Windsor Wood Carving Museum,Eye-catching exhibits make this a must-see museum.,"Schroeder, Roger",,,14,Spring,2001,14-16,Museums,History,Exhibit,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-14-spring-2001.html
Tecumseh Comes to Windsoe,Neil Z. Cox sculpts a Canadian legend.,"Schroeder, Roger","Cox, Neil Z",,14,Spring,2001,18-19,Indians,People,Artist Profile,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-14-spring-2001.html
Carving and Painting a Magpie,Cam Merkle illustrates how to create this strikingly iridescent bird.,"Merkle, Cam",,,14,Spring,2001,20-26,Painting Techniques,"Projects, Step by Step",Birds,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-14-spring-2001.html
Figurative Furniture,Jamie Russell Brings together carved figures and impeccable joinery.,"Russell, Jamie",,,14,Spring,2001,27-32,Furniture,Figures,Technique,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-14-spring-2001.html
Carving Horses,You can bet that Llew Bertsch's horses have just the right proportions.,"Bertsch, llew",,,14,Spring,2001,33-36,Animals,Horses,Realistic,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-14-spring-2001.html
